                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 2.1306,                 1.5659,                0.95845,                0.57004,                0.57627,                0.53344,                0.19649,                 2.1414,                  1.491,                 1.0099,              0.0017822,              0.0017822,              0.0017822
                     35,                 2.2037,                 1.4943,                0.98785,                 0.5364,                0.59322,                0.54547,                0.21763,                 2.1573,                 1.4599,                 1.0113,              0.0017756,              0.0017756,              0.0017756
                     36,                 2.2083,                 1.5552,                0.93868,                0.58936,                0.64407,                0.60897,                0.25421,                 2.1185,                 1.5066,                 1.0291,               0.001769,               0.001769,               0.001769
                     37,                 2.1744,                   1.51,                0.96045,                0.56363,                0.61302,                0.55431,                0.18766,                 2.1563,                 1.6018,                 1.0292,              0.0017624,              0.0017624,              0.0017624
                     38,                 2.1985,                 1.4973,                0.97802,                0.51726,                0.69492,                0.55764,                0.20955,                 2.1467,                 1.4257,                 1.0172,              0.0017558,              0.0017558,              0.0017558
                     39,                 2.2087,                 1.5255,                0.95731,                0.67888,                0.57338,                0.61004,                0.24039,                 2.0856,                 1.3374,                 1.0017,              0.0017492,              0.0017492,              0.0017492
                     40,                 2.1303,                 1.4865,                0.94714,                0.61928,                0.54237,                0.60308,                0.20056,                 2.1548,                 1.4801,                 1.0221,              0.0017426,              0.0017426,              0.0017426
                     41,                 2.2036,                 1.4161,                0.94407,                0.67739,                0.57627,                0.60366,                0.21875,                 2.1266,                 1.5476,                 1.0209,               0.001736,               0.001736,               0.001736
                     42,                 2.1455,                  1.441,                0.94449,                0.58655,                0.47458,                 0.4473,                0.13565,                  2.444,                 1.5427,                 1.0578,              0.0017294,              0.0017294,              0.0017294
                     43,                 2.1601,                 1.4485,                0.95664,                0.56701,                0.62153,                0.52765,                0.20104,                 2.1579,                 1.6513,                 1.0015,              0.0017228,              0.0017228,              0.0017228
                     44,                 2.1224,                 1.4204,                0.95257,                0.58468,                0.62712,                0.58463,                0.22051,                   2.24,                 1.4965,                 1.0156,              0.0017162,              0.0017162,              0.0017162
                     45,                 2.0822,                 1.4404,                0.93764,                0.58817,                0.62712,                0.58708,                0.21605,                 2.1944,                 1.4732,                 1.0117,              0.0017096,              0.0017096,              0.0017096
                     46,                 2.0875,                 1.3997,                0.92839,                0.62709,                0.66102,                0.63014,                0.24239,                 2.1626,                 1.3996,                 1.0087,               0.001703,               0.001703,               0.001703
                     47,                 2.1518,                 1.3602,                0.95286,                0.63557,                0.67989,                0.62591,                0.23136,                 2.1539,                 1.3296,                 1.0113,              0.0016964,              0.0016964,              0.0016964
                     48,                 2.1487,                 1.4252,                0.94918,                0.62479,                0.64919,                0.58647,                0.25028,                 2.1834,                 1.3953,                 1.0397,              0.0016898,              0.0016898,              0.0016898
